preco;bairro;tipo;endereco;cidade;quartos;suites;vagas;area
980000;CENTRO;Casa;;Pelotas RS;4;1;2;358
290000;FRAGATA;Apartamento;Avenida Duque de Caxias;Pelotas RS;3;1;0;103
1800000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;4;0;2;210
295000;CENTRO;Casa;Rua Major Cicero de Goes Monteiro;Pelotas RS;2;0;0;124
370000;AREAL;Apartamento;Avenida Ferreira Viana;Pelotas RS;2;1;2;64
150000;LARANJAL;Casa Comercial;Praca Aratiba;Pelotas RS;;0;4;
212000;PORTO;Apartamento;Uruguay;Pelotas RS;1;0;0;58
180000;LARANJAL;Casa;Endereco Nao Informado;Pelotas RS;2;0;1;85
424000;CENTRO;Casa;;Pelotas RS;2;0;0;71
830000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;4;1;2;300
480000;LARANJAL;Casa;Avenida Jose Maria da Fontoura;Pelotas RS;2;0;1;180
180000;CENTRO;Loft;Rua Mal Deodoro;Pelotas RS;1;1;1;40
200000;FRAGATA;Casa;;Pelotas RS;2;0;2;84
180000;CENTRO;Terreno Padrao;Tres de Maio;Pelotas RS;;0;0;
650000;AREAL;Terreno Padrao;;Pelotas RS;;0;0;
145000;CENTRO;Apartamento;;Pelotas RS;2;0;1;50
285000;AREAL;Apartamento;Rua Luis de Mattos;Pelotas RS;3;1;1;75
380000;TRES VENDAS;Casa;Endereco Nao Informado;Pelotas RS;5;0;0;115
200000;FRAGATA;Casa;Endereco Nao Informado;Pelotas RS;2;1;0;120
380000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;3;1;1;155
480000;LARANJAL;Casa;Endereco Nao Informado;Pelotas RS;3;1;1;115
275000;AREAL;Terreno Padrao;Avenida Sao Francisco de Paula;Pelotas RS;;0;0;
295000;FRAGATA;Casa;Rua Dr Andre Dreyfus;Pelotas RS;3;0;0;187
212700;PORTO;Casa;;Pelotas RS;3;0;0;130
330000;LARANJAL;Casa;Rua Sao Lourenco do Sul;Pelotas RS;2;1;3;115
350000;Umuharama;Casa;;Pelotas RS;4;0;1;130
310000;AREAL;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;2;73
349000;LARANJAL;Casa;;Pelotas RS;2;1;2;130
335000;CENTRO;Casa;Rua Eng Hugo Veiga;Pelotas RS;2;0;1;127
197000;CENTRO;Apartamento;Rua Gomes Carneiro;Pelotas RS;1;0;0;49
320000;TRES VENDAS;Casa;;Pelotas RS;3;0;2;132
220000;PORTO;Casa;;Pelotas RS;2;0;0;77
280000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;53
349000;TRES VENDAS;Predio Inteiro;Rua Sao Luiz;Pelotas RS;2;0;1;378
