preco;bairro;tipo;endereco;cidade;quartos;suites;vagas;area
680000;AREAL;Casa de Condominio;Avenida Sao Francisco de Paula;Pelotas RS;3;1;3;147
370000;CENTRO;Casa;;Pelotas RS;4;0;1;200
505000;INDETERMINADO;Apartamento;Rua Emilio Jorge dos Reis;Pelotas RS;3;1;2;118
421281;TRES VENDAS;Conjunto Comercial/Sala;Avenida Dom Joaquim;Pelotas RS;;0;0;74
250000;CENTRO;Apartamento;;Pelotas RS;2;0;1;60
1650000;CENTRO;Casa;;Pelotas RS;3;1;6;385
150000;TRES VENDAS;Casa;Rua Dois Loteamento Salgado Filho;Pelotas RS;2;1;2;60
80000;CENTRO;Conjunto Comercial/Sala;Marechal Floriano;Pelotas RS;;0;0;
314000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;4;0;1;200
850000;CENTRO;Loja/Salao;Rua 15 de Novembro;Pelotas RS;;0;0;238
280000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;2;0;1;148
800000;AREAL;Casa;Domingos Jose de Almeida;Pelotas RS;1;0;0;235
211000;CENTRO;Loft em Obras;Rua 15 de Novembro;Pelotas RS;1;0;1;44
530000;CENTRO;Predio Inteiro;Endereco Nao Informado;Pelotas RS;;0;0;115
150000;TRES VENDAS;Casa;;Pelotas RS;2;0;1;60
2900000;TRES VENDAS;Casa;Avenida Fernando Osorio;Pelotas RS;4;0;60;217
248000;AREAL;Terreno Padrao;;Pelotas RS;;0;0;
125000;AREAL;Apartamento;Avenida Pres Juscelino Kubitschek de Oliveira;Pelotas RS;2;0;1;48
150000;Simoes Lopes;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;150
400000;RECANTO DE PORTUGAL;Casa;;Pelotas RS;3;1;2;120
570000;AREAL;Loteamento/Condominio;Endereco Nao Informado;Pelotas RS;;0;0;570
380000;Valverde;Casa;Endereco Nao Informado;Pelotas RS;3;1;2;129
160000;PORTO;Casa;Jose do Patrocinio;Pelotas RS;1;0;0;40
145000;CENTRO;Loja/Salao;;Pelotas RS;;0;0;36
170000;CENTRO;Apartamento;;Pelotas RS;2;0;1;42
298000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;2;0;1;112
210000;FRAGATA;Casa;Rua Manuel Lucas de Oliveira;Pelotas RS;3;0;1;120
189000;AREAL;Apartamento;R Elgar Carlos Hadler;Pelotas RS;2;0;0;75
425000;CENTRO;Casa;Rua Marcilio Dias;Pelotas RS;3;0;0;149
280000;CENTRO;Apartamento;Rua Goncalves Chaves;Pelotas RS;2;0;1;95
212000;FRAGATA;Apartamento;;Pelotas RS;2;0;0;62
155000;Fatima;Casa;;Pelotas RS;2;0;2;120
211000;CENTRO;Loft em Obras;Rua 15 de Novembro;Pelotas RS;1;0;1;44
138000;FRAGATA;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;45
240000;CENTRO;Apartamento;Alvaro Chaves;Pelotas RS;2;0;1;54
181000;CENTRO;Casa;Rua Tres de Maio;Pelotas RS;2;0;2;47
265000;CENTRO;Apartamento;Rua Gomes Carneiro;Pelotas RS;2;0;0;74
350000;CENTRO;Apartamento;;Pelotas RS;3;0;0;110
230000;FRAGATA;Apartamento;;Pelotas RS;2;0;1;84
245000;TRES VENDAS;Casa;Olegario Mariano;Pelotas RS;3;1;1;60
212000;CENTRO;Casa;;Pelotas RS;2;0;1;140
330000;AREAL;Apartamento;;Pelotas RS;3;1;2;80
350000;LARANJAL;Casa;R Paulo de Souza Lobo;Pelotas RS;3;0;0;130
850000;Zona Norte;Casa;Vereador Celso Garcia D Avilla Sellas;Pelotas RS;3;1;2;240
250000;LARANJAL;Terreno Padrao;;Pelotas RS;;0;0;
235000;AREAL;Apartamento;Rua Visconde de Taunay;Pelotas RS;2;0;1;58
370000;LARANJAL;Casa;Endereco Nao Informado;Pelotas RS;3;1;2;130
242000;AREAL;Apartamento;;Pelotas RS;2;0;1;54
270000;CENTRO;Apartamento;;Pelotas RS;3;0;1;83
360000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;3;1;2;140
240000;CENTRO;Casa;;Pelotas RS;3;0;2;115
640000;CENTRO;Apartamento;Rua Anchieta;Pelotas RS;3;1;1;169
211000;CENTRO;Loft em Obras;Rua 15 de Novembro;Pelotas RS;1;0;1;44
390000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;5;1;0;163
400000;CENTRO;Terreno Padrao;Doutor Cassiano;Pelotas RS;;0;0;
210000;AREAL;Apartamento;Avenida Ferreira Viana;Pelotas RS;2;0;1;43
190000;CENTRO;Apartamento;Senador Mendonca;Pelotas RS;2;0;0;
155000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;1;0;0;36
490000;TRES VENDAS;Casa;General Joao Antonio da Silveira;Pelotas RS;4;1;1;240
290000;AREAL;Casa;Rua Alberto Pimentel;Pelotas RS;2;0;1;129
240000;LARANJAL;Loteamento/Condominio;Veredas Altos do Laranjal;Pelotas RS;;0;0;
260000;LARANJAL;Casa;Rua Taquara;Pelotas RS;2;0;2;200
350000;TRES VENDAS;Casa;Endereco Nao Informado;Pelotas RS;2;0;1;70
360000;RECANTO DE PORTUGAL;Casa;Rua Vila do Conde;Pelotas RS;3;1;2;100
318000;CENTRO;Apartamento;Praca Piratinino de Almeida;Pelotas RS;2;0;0;77
230000;CENTRO;Apartamento;Jose do Patrocinio;Pelotas RS;3;0;1;
175000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;1;0;0;45
360000;PORTO;Casa;Rua Gal Teles;Pelotas RS;2;0;1;108
170000;FRAGATA;Casa;;Pelotas RS;2;0;1;118
200000;CENTRO;Apartamento;;Pelotas RS;1;0;0;45
490000;VL JD EUROPA;Apartamento;;Pelotas RS;2;1;2;72
230000;CENTRO;Casa;Joao da Silva Silveira;Pelotas RS;3;0;2;
211000;CENTRO;Loft em Obras;Rua 15 de Novembro;Pelotas RS;1;0;1;44
170000;FRAGATA;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;50
